aes,wmo,id,name,instr,prov,lon,lat,elev,tz_correct,h_bul,s_bul,hly,syn,tmm,ua,useindex,agency,the_geom
3024668,71257,CXMO,                                       MORRIN+AGDM,   AU7,AB,-112.683,51.667,836,-7,swobml/cxmo,smcn32/cwao,H,H,@,-,257,MSC   ,01010000208A0F00004B8A44A1F24032C14521E2EBD93B1C41
3024925,71258,CXOL,                                         OLDS+AGDM,   AU7,AB,-114.083,51.767,1046,-7,swobml/cxol,smcn32/cwao,H,H,@,-,258,MSC   ,01010000208A0F00006EFB94C6739B33C1B1B5DD9B938B1E41
3024965,71342,CXOY,                                         OYEN+AGDM,   AU7,AB,-110.35,51.383,767,-7,swobml/cxoy,smcn23/cwao,H,H,@,-,342,MSC   ,01010000208A0F00001BBB34259D0230C138DD394962DF1741
3025243,71259,CXPL,                                 POLLOCKVILLE+AGDM,   AU7,AB,-111.7,51.133,750,-7,swobml/cxpl,smcn32/cwao,H,H,@,-,259,MSC   ,01010000208A0F0000AE1AE49E127F31C1EEF146220CAA1741
3025297,71353,CZPS,                                          PRENTISS,   AU8,AB,-113.6,52.433,965,-7,swobml/czps,smcn33/cwao,H,H,-,-,353,MSC   ,01010000208A0F0000728C2F7F8ECD32C1E41DB77BD81E2141
3025480,71878,CYQF,                                        RED+DEER+A,   FSS,AB,-113.9,52.183,905,-7,sacn61/cyqf,smcn07/cwao,X,X,@,-,878,MSC   ,01010000208A0F00006C02566B5D3833C114654826317F2041
3025750,713495,CPSR,                       ST.+ALBERT+RESEARCH+STATION,   AU8,AB,-113.617,53.7,687,-7,swobml/cpsr,xxxxxx/xxxx,H,-,-,-,3495,MSC   ,01010000208A0F00008BDDA9F3183532C116C3EBECA1312541
3025768,71269,CXSC,                                      SCHULER+AGDM,   AU7,AB,-110.083,50.3,800,-7,swobml/cxsc,smcn32/cwao,H,H,@,-,269,MSC   ,01010000208A0F00002145190F7D2A30C165FF66E5A4811041
3026479,71249,CWHI,                                       THREE+HILLS,   AU8,AB,-113.2,51.767,857,-7,swobml/cwhi,smcn22/cwao,H,H,-,-,249,MSC   ,01010000208A0F0000234BCE8EBAB932C1A9CE1BEF1C7B1D41
3026KNQ,71248,CWAV,                                          SUNDRE+A,   AU8,AB,-114.683,51.783,1114,-7,swobml/cwav,smcn22/cwao,H,H,@,-,248,MSC   ,01010000208A0F00009D7D557E2F3234C168AE1A2917661F41
3027582,71904,CPWB,                                     WIMBORNE+AGCM,   AU7,AB,-113.583,51.933,940,-7,swobml/cpwb,smcn29/cwao,H,H,@,-,904,MSC   ,01010000208A0F0000B9ACEE642E0733C125D766B455011F41
3030450,71981,CPAZ,                                             AZURE,   AU8,AB,-114.017,50.517,1143,-7,swobml/cpaz,smcn39/cwao,H,H,-,-,981,MSC   ,01010000208A0F0000C67B32EF602934C138B8BB745C6A1641
3030525,71346,CXBW,                                     BARNWELL+AGDM,   AU7,AB,-112.3,49.8,824,-7,swobml/cxbw,smcn23/cwao,H,H,@,-,346,MSC   ,01010000208A0F00001AFD5C2CD8B632C18BFB6208BF540F41
3030529,71007,CPBA,                                       BARONS+AGCM,   AU7,AB,-113.217,50.033,967,-7,swobml/cpba,smcn20/cwao,H,H,@,-,7,MSC   ,01010000208A0F0000A41A5DAA7C9133C15C7E2DDBE1481241
3030540,71008,CPBS,                                      BASSANO+AGCM,   AU7,AB,-112.467,50.9,807,-7,swobml/cpbs,smcn20/cwao,-,H,@,-,8,MSC   ,01010000208A0F000062BAB10DF76232C18795786DF3031741
3030680,71982,CPBD,                                     BLACK+DIAMOND,   AU8,AB,-114.15,50.7,1156,-7,swobml/cpbd,smcn39/cwao,H,H,-,-,982,MSC   ,01010000208A0F000027282FF3F03434C1A91AA661A6C31741
3030720,71517,CPBT,                                  BLOOD+TRIBE+AGDM,   AU7,AB,-113.05,49.567,980,-7,swobml/cpbt,smcn25/cwao,H,H,@,-,517,MSC   ,01010000208A0F0000903E7D1F539D33C1768D304AC61A0E41
3030768,71231,CWXL,                                        BOW+ISLAND,   AU8,AB,-111.45,49.733,817,-7,swobml/cwxl,smcn22/cwao,H,H,@,-,231,MSC   ,01010000208A0F00001263A3A44AD831C1F8DE55B15F800C41
3030772,71519,CPXL,                        BOW+ISLAND+IRRIGATION+AGDM,   AU7,AB,-111.383,49.867,799,-7,swobml/cpxl,smcn25/cwao,H,H,@,-,519,MSC   ,01010000208A0F0000E2FB215950B731C1055450DAFB1A0E41
3030830,71341,CXBR,                                      BROCKET+AGDM,   AU7,AB,-113.817,49.617,1073,-7,swobml/cxbr,smcn23/cwao,H,H,@,-,341,MSC   ,01010000208A0F0000875475AC3F6634C1C698D5B384571041
3030QLP,71457,CWBO,                                            BROOKS,   AU8,AB,-111.85,50.55,747,-7,swobml/cwbo,xxxxxx/xxxx,H,H,@,-,457,MSC   ,01010000208A0F00004E991E803FE831C19402D9AF09091441
3031092,71877,CYYC,                                    CALGARY+INTL+A,   NCH,AB,-114.017,51.117,1099,-7,sacn62/cyyc,smcn07/cwao,H,H,-,-,877,MSC   ,01010000208A0F0000B3DD877617DD33C1F9EEAC3965481A41
3031094,71393,CPCI,                                  CALGARY+INT'L+CS,   AU8,AB,-114,51.117,1082,-7,swobml/cpci,smcn33/cwao,H,H,@,-,393,MSC   ,01010000208A0F0000896E4896AED833C178367D1EF6421A41
3031109,71860,CYBW,                              CALGARY+SPRINGBANK+A,   NCH,AB,-114.367,51.1,1201,-7,sacn61/cybw,xxxxxx/xxxx,-,-,-,-,860,MSC   ,01010000208A0F00002609DCE9FE3934C1F57B81C2579D1A41
3031322,71153,CWFJ,                                          CARDSTON,   AU8,AB,-113.283,49.2,1136,-7,swobml/cwfj,smcn31/cwao,H,H,@,-,153,MSC   ,01010000208A0F000013D9639B7E0934C13BF1993F74E90941
